title,company,location,eligibility,skills,description,apply_url,salary,category_slug,source_name,source_url,featured_job,application_deadline
Software Developer Intern - React - Voice AI core,NWORX,"Bangalore, Karnataka, India",B.E / B.Tech (Internship / Students & Freshers),"React, Frontend Development, Backend Development, Artificial Intelligence (AI), Problem Solving, Data Structures & Algorithms (DSA), Git / GitHub","Key Responsibilities
Feature Development: Take ownership of specific frontend modules and tasks within sprint cycles, driving them from technical design through to production deployment with guidance from senior engineers.
Frontend Engineering: Build and scale complex, high-performance UIs using React, including advanced features like image streaming and real-time voice animations.
Prompt Infrastructure & Testing: Dedicate 30-40% of your bandwidth to developing and refining prompt infrastructure. Build and run adversarial networks to test accuracy, variance, hallucination rates, and latency under high-stakes production scenarios.
Orchestration Layer: Work directly with our proprietary orchestrator, integrating and optimizing TTS, ASR, and LLM components.
Architecture & Quality: Go the extra mile to surface and implement the right architecture. Write strong test cases, ship clean code, and maintain a high bar for engineering quality.
Product Engineering: Apply a product-minded approach, leveraging engineering spikes and R&D to drive new product improvements and features.
Technical Environment
Core: React, React Fiber (for high-performance rendering)
Integrations: Blender MCP, real-time image/voice streaming
AI Stack: Custom orchestration layer, TTS, ASR, LLMs, prompt engineering tooling
What We’re Looking For
A strong foundation in React and modern frontend engineering (via coursework, personal projects, or previous internships).
A proven ability to dig deep into complex problems, particularly those related to scale and performance.
High standards for code quality, testing, and clean architecture.
Intellectual curiosity about AI infrastructure and a willingness to work hands-on with LLMs, prompt optimization, and adversarial testing.
Who This Opportunity Might Be For
Final-year students looking for an internship + PPO: You are in your final year of college, looking for a high-impact internship that acts as a direct pipeline to a full-time role based on your performance.
3rd-year students looking to intern: You are currently in your 3rd year and have the bandwidth to commit to a 3-month (or longer) internship to gain deep, real-world experience in AI and frontend engineering.
Aspiring frontend engineers ready to become full-stack: You have a strong foundation in frontend development and are eager to expand your scope. You are open to being mentored and actively want to grow into a role that bridges frontend UI with backend AI orchestration layers.
High-ownership builders: You want to drive features end-to-end and be recognized as the owner of your domain.
Engineers with a product mindset: You don't just want to write code; you want to use R&D and technical spikes to directly influence the direction of the product.
Who This Opportunity Might Not Be For To ensure alignment, this role is likely not a fit if:
You prefer strict task execution: If you prefer being handed line-by-line instructions rather than owning specific modules and driving them to completion, this role will not be a good fit.
You just want to ""move fast and break things"": We move fast, but we are dealing with enterprise and government infrastructure. We value speed, but we value quality, testing, and clean code equally. If you cut corners on tests, you won't enjoy it here.
You are strictly a UI developer: If your focus is exclusively on translating Figma designs to code and you have no interest in diving into the underlying AI orchestration, TTS/ASR layers, or prompt infrastructure, you will find the 30-40% AI requirement unappealing.
You dislike AI operational metrics: If you do not want to engage with the operational challenges of production AI (such as measuring hallucination rates, latency, and running adversarial tests), this scope of work will not suit you.
You prefer low-ambiguity environments: We are a scaling startup dealing with complex, multi-modal AI deployed in government and enterprise environments. If you prefer highly predictable, low-ambiguity work with no operational friction, this environment may be challenging.
Benefits:
Flexible schedule
Provident Fund
Work from home",https://in.indeed.com/viewjob?jk=f13edc8a7f52fc38,Not Disclosed / As per Industry Standards,web-development,Indeed,https://in.indeed.com/viewjob?jk=f13edc8a7f52fc38,False,
PHP Developer Internship,Marcaters,"Bangalore, Karnataka, India",B.E / B.Tech (Freshers / 0-1 Yr),"JavaScript, PHP, HTML5, CSS3, Problem Solving, Data Structures & Algorithms (DSA), Git / GitHub","Responsibilities
Key Responsibilities / Essential Requirements :
Write “clean”, well-designed code.
Produce detailed specifications
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality.
Contribute in all phases of the development lifecycle.
Follow industry best practices.
Develop and deploy new features to facilitate related procedures and tools if necessary.
Skillset You Should Possess
Software development experience in PHP.
Demonstrable knowledge of web technologies including HTML, CSS, Javascript, AJAX etc.
Good knowledge of relational databases, version control tools and of developing web services.
Required Qualifications
Any Under Graduate Degree or Post Graduate in computer science.
Candidates with 0 – 6 Months of experience can apply and even if you’re fresher.
Desired Qualifications
Those who completed course in PHP Development are more preferable.",https://www.linkedin.com/jobs/view/4457226556,Not Disclosed / As per Industry Standards,web-development,LinkedIn,https://www.linkedin.com/jobs/view/4457226556,False,
Mobile App Developer Intern,Wingit,"Bangalore, Karnataka, India",Enrolled Students / Fresh Graduates (All Tech Branches),"JavaScript, TypeScript, React, AWS, GCP, Artificial Intelligence (AI), React Native, Problem Solving","Role: Mobile App Developer(Intern)
Competitive compensation
About Wingit
Wingit is building India’s first beauty commerce concierge, bringing Sephora’s shopping experience to your home. Our mission is to reimagine how top 1% of India shops - quick commerce made shopping quick; but we’ll make shopping at home an experiential delight, along with a tech-first digital experience.
We’re in our 0 to 1 phase and are looking for smart and hungry folks to join our founding team.
Our gunpowder:
Our team (+ hopefully you)
We’re backed by two of the larges VC firms in India, along with a solid set of angels, having raised one of the largest seed rounds in the BPC category in a while.
About the role
Join Wingit’s product engineering team to help build a category-defining mobile experience from the ground up. We are looking for hands-on builders who can take ideas from a blank page to a working product - while not compromising on tech practices, quality and scalability.
Build from scratch: Turn loosely defined ideas into working prototypes and production-ready React Native experiences.
Explore new interfaces: Experiment with modern mobile libraries and emerging technologies including generative UI, adaptive interfaces, and AI-assisted interactions.
What you bring: Solid JavaScript or TypeScript fundamentals and evidence that you build things - not just complete assignments. Show us projects that you’ve built in the past, the biggest problems that you’ve solved.
Our stack: TypeScript, React Native, Expo, GCP/AWS
Who are we looking for
Engineers who are experienced with strongly typed languages. Have a love for tech, automation and modern & defensive coding practices. Having open source contributions, research publications or experience with early stage high growth environments is a huge plus.
Please fill out this form to apply: https://forms.gle/pKmchSoPRz5FC4fs5",https://www.linkedin.com/jobs/view/4456931378,Not Disclosed / As per Industry Standards,web-development,LinkedIn,https://www.linkedin.com/jobs/view/4456931378,False,
Software Engineering Intern (Full Stack),Joveo,"Bangalore, Karnataka, India",CS / IT / Engineering Graduate (Internship / Students & Freshers),"JavaScript, TypeScript, React, Next.js, Full Stack Development, Node.js, Express.js, REST APIs","What we're looking for
Strong programming fundamentals and projects you've actually built.
Working knowledge of TypeScript, React, Next.js, Node.js, and Express.js.
Comfort with SQL and database design, REST APIs, and Git. A basic grasp of LLMs, embeddings, and vector databases, plus the hunger to go deeper.
Above all, a builder's mindset that thrives in ambiguity.
Why join
Build with the newest tools from day one.
Real ownership of what you ship.
Direct access to leadership.
The kind of growth that takes years elsewhere.
Build the next chapter of Joveo. Apply now",https://www.linkedin.com/jobs/view/4456907864,Not Disclosed / As per Industry Standards,web-development,LinkedIn,https://www.linkedin.com/jobs/view/4456907864,False,
Backend Engineering Intern,Joveo,"Bangalore, Karnataka, India",CS / IT / Engineering Graduate (Internship / Students & Freshers),"JavaScript, TypeScript, React, Next.js, Full Stack Development, Backend Development, Node.js, Express.js","What we're looking for
Strong programming fundamentals and projects you've actually built.
Working knowledge of TypeScript, React, Next.js, Node.js, and Express.js.
Comfort with SQL and database design, REST APIs, and Git. A basic grasp of LLMs, embeddings, and vector databases, plus the hunger to go deeper.
Above all, a builder's mindset that thrives in ambiguity.
Why join
Build with the newest tools from day one.
Real ownership of what you ship.
Direct access to leadership.
The kind of growth that takes years elsewhere.
Build the next chapter of Joveo. Apply now",https://www.linkedin.com/jobs/view/4456914897,Not Disclosed / As per Industry Standards,software-development,LinkedIn,https://www.linkedin.com/jobs/view/4456914897,False,
Intern,Baxter International Inc.,"Bangalore, Karnataka, India",B.E / B.Tech (Internship / Students & Freshers),"Java, Data Structures & Algorithms (DSA), Problem Solving, Git / GitHub","This is where
your work makes a difference.
At Baxter, we believe every person—regardless of who they are or where they are from—deserves a chance to live a healthy life. It was our founding belief in 1931 and continues to be our guiding principle. We are redefining healthcare delivery to make a greater impact today, tomorrow, and beyond.
Our Baxter colleagues are united by our Mission to Save and Sustain Lives. Together, our community is driven by a culture of courage, trust, and collaboration. Every individual is empowered to take ownership and make a meaningful impact. We strive for efficient and effective operations, and we hold each other accountable for delivering exceptional results.
Here, you will find more than just a job—you will find purpose and pride.
What you'll be doing
Design, build, test, assemble, support and configure application using business requirements
Bake technology trends into solutions; Participate in the development of automation solutions, new functionality and technologies and integrate them in existing solutions
Taking ownership of small tasks and delivering without supervision while using their discretion to seek help when necessary.
Demonstrate the ability to work collaboratively with team members.
What you'll bring
Must possess Strong expertise in Systems Software Programming Skills [JAVA, C/C++ etc.] Must possess sound understanding of Computer Science fundamentals such as object-oriented design, Operating systems, Algorithm, design, data structures, and complexity analysis.
Equal Employment Opportunity
Baxter is an",https://www.linkedin.com/jobs/view/4457250602,Not Disclosed / As per Industry Standards,web-development,LinkedIn,https://www.linkedin.com/jobs/view/4457250602,False,
Full Stack Engineer (Internship cum Full Time Employment,8byte,"Bangalore, Karnataka, India",B.E / B.Tech (Internship / Students & Freshers),"JavaScript, TypeScript, React, HTML5, CSS3, Tailwind CSS, Frontend Development, Full Stack Development","Key Responsibilities
Build responsive UI components using React and TypeScript with Tailwind CSS.
Design and implement backend APIs and services with Node.js and NestJS.
Write unit and integration tests; maintain code quality through reviews and best practices.
Collaborate with product, design, and engineering teams to deliver end-to-end features.
Troubleshoot bugs, performance issues, and integration problems across the stack.
Document work and share knowledge to support team learning.
Requirements
Final-year students (graduating this year) or recent graduates (within 12 months).
Strong JavaScript and TypeScript fundamentals.
Hands-on experience with React.js and front-end development (HTML, CSS, Tailwind).
Basic to intermediate Node.js knowledge; familiarity with NestJS preferred.
Experience with Git, debugging, and writing readable, maintainable code.
Good communication, collaboration skills, and ability to learn quickly.
What You'll Get
Hands-on exposure to AI and data engineering at scale.
Work on impactful BFSI problems.
Mentorship from experienced engineers and data scientists.
Paid internship with meals (breakfast and lunch).
Potential conversion to full-time based on performance after six months.
Skills: css,typescript,nest,node.js",https://www.linkedin.com/jobs/view/4458355067,Not Disclosed / As per Industry Standards,web-development,LinkedIn,https://www.linkedin.com/jobs/view/4458355067,False,
Software Development Engineer (SDE) Intern,EYFI,"Bangalore, India (Remote)",B.E / B.Tech (Internship / Students & Freshers),"Frontend Development, Full Stack Development, Backend Development, Git / GitHub, Artificial Intelligence (AI), Problem Solving, Data Structures & Algorithms (DSA)","We’re looking for an
SDE Intern
to help us build and scale the
EYFI Challenge application -
www.eyfichallenge.com.
You’ll work
directly with the founder
and get hands-on ownership across product development, internal automations, and experiments with AI across different parts of EYFI.
What you’ll work on
Build and improve features for the
EYFI Challenge web application
Work across the stack: frontend, backend, APIs, databases, integrations, and deployment
Build
automations and internal tools
to make our operations more efficient
Experiment with AI tools and integrations across EYFI, including
content, marketing, and operations
Debug issues, ship quickly, and continuously improve what we’re building
Work closely with the founding team as the challenge scales across colleges and students
You might be a good fit if you
Have previous experience as a
Full Stack / Software Development Intern
, or have built strong end-to-end projects
Genuinely know how to code and debug,
you’re comfortable using AI coding tools, but aren’t dependent on them
Are curious about AI and constantly experiment with new tools, APIs, and workflows
Enjoy building things from scratch rather than only working on well-defined tasks
Have been active in
student clubs, tech communities, hackathons, or college events
Can take ownership and figure things out in a fast-moving environment
Internship Details
2 months
Commitment:
40 hours/week
Remote
₹15,000/month
Website:
www.eyfichallenge.com
Interested?
Submit your
profile and proof of work
(GitHub, portfolio, projects, or anything you’ve built) to info@eyfichallenge.com.
Before applying, take a look at www.eyfichallenge.com to understand what we’re building.
We care more about
what you’ve actually built and how you think
than a perfectly formatted resume.",https://www.linkedin.com/jobs/view/4458360558,"₹15,000 / month",software-development,LinkedIn,https://www.linkedin.com/jobs/view/4458360558,False,
AI Intern (Internship cum Employment Program),8byte,"Bangalore, Karnataka, India",B.E / B.Tech (Internship / Students & Freshers),"Python, Backend Development, Django, Flask, FastAPI, Ruby on Rails, REST APIs, Microservices","Python Intern (AI Solutions) — Internship cum PPO
Bangalore (In-Office, 5 days/week)
Role Type:
Internship (with PPO / employment opportunity based on performance)
Commensurate with industry standards
Daily office meals + AQI < 50 (yes, we checked)
About Us
8byte builds AI infrastructure for intelligent enterprise use cases in the BFSI sector. Our mission is to help regulated industries reduce costs, boost efficiency, and unlock better decision-making using secure, scalable AI.
With 50+ years of collective experience in banking, fintech, and financial services, our founding team knows exactly where the pain points are, and we are building solutions that actually solve them.
The Role
We’re looking for a curious, driven
Python Intern
to join our AI Solutions team. You’ll get your hands dirty building real products, work closely with senior engineers, and contribute to critical AI infra components. This isn’t a pretend internship—you will be part of our core team from day one.
What You’ll Work On
Data Parsing & Cleaning: Write Python scripts to parse, transform, and wrangle structured and unstructured enterprise data for downstream AI consumption.
RAG & Search Systems: Build end-to-end Retrieval-Augmented Generation (RAG) pipelines using vector databases (Pinecone, Qdrant, Chroma, pgvector) alongside traditional search engines (Elasticsearch, Solr) for hybrid search architectures.
AI Agents & Multi-Agent Orchestration: Architect autonomous AI agents and complex multi-agent workflows capable of planning, dynamic tool-calling, state management, and multi-role collaboration.
LLM Routing & Enterprise Cloud Orchestration: Build intelligent routing logic to dynamically direct queries across managed cloud platform suites—such as Azure AI Foundry, Amazon Bedrock, and Google Cloud Vertex AI—balancing cost, latency, and model availability.
API Development & Microservices: Design and deploy fast, scalable REST/gRPC APIs using frameworks like FastAPI or Flask to seamlessly connect AI services with front-end applications.
Containerization & Deployment: Containerize applications using Docker and Docker Compose to maintain consistent environment setups across local development, staging, and cloud production environments.
Testing, Debugging & Evals: Write comprehensive unit tests for core backend services while establishing evaluation frameworks to benchmark agent performance and RAG retrieval accuracy.
Documentation: Maintain clear, developer-friendly architectural diagrams and API documentation—leaving behind sustainable engineering practices, not spaghetti code.
Exploration: Dive into emerging AI patterns, agentic frameworks, vector tech, and open-source libraries that move the needle for the product.
What You’ll Bring / Bonus Points For
Practical experience integrating hyperscaler AI platforms (Azure AI Foundry, AWS Bedrock, GCP Vertex AI).
Hands-on experience with modern agent and RAG frameworks (LangChain, LangGraph, LlamaIndex, CrewAI, AutoGen).
Familiarity with vector databases and hybrid search architectures (combining BM25 keyword search with dense vector embeddings).
Proficiency with Docker, Docker Compose, and containerizing microservices for cloud deployment.
Solid understanding of prompt engineering, structured outputs, and dynamic tool/function calling.
Strong exposure to modern Python web frameworks (FastAPI, Flask, Django) and asynchronous programming.
Strong Git practices and familiarity with CI/CD workflows for AI infrastructure.
What You’ll Get
Real-World Experience: Hands-on experience building enterprise-grade AI infrastructure in a high-growth startup.
Mentorship: Direct mentorship from senior engineers, researchers, and fintech veterans.
Pathway to PPO: Clear evaluation path for full-time employment (PPO) based on performance.
Culture & Perks: A collaborative, supportive, no-BS team environment with daily office meals and breathable air.
Ready to build the AI rails for the financial world? Apply now and let’s build something great together.
Note:
This is a paid internship.Skills: data cleaning,testing,elasticsearch,api development,data,flask,django,debugging,solr,python,rest apis,data parsing,documentation,git",https://www.linkedin.com/jobs/view/4458343813,Not Disclosed / As per Industry Standards,data-analytics,LinkedIn,https://www.linkedin.com/jobs/view/4458343813,False,
Intern Engineer - Control SW,Fluence,"Bangalore, Karnataka, India",Any Graduate / Bachelor's Degree (Internship / Students & Freshers),"Python, Git / GitHub, Cybersecurity, Embedded Systems / IoT, Troubleshooting, Storage & Systems (NAS/FTP), MIS Reporting & Documentation, Problem Solving","Key responsibilities:
Assist in engineering design, development, testing, and validation activities.
Support troubleshooting and root-cause analysis of technical issues.
Collect, analyse, and document test and performance data.
Prepare technical documentation, reports, drawings, and presentations.
Participate in design reviews, project meetings, and improvement initiatives.
Collaborate with engineering, quality, operations, and project teams.
Follow applicable safety, quality, cybersecurity, and engineering standards.
Contribute ideas for improving product reliability, performance, and efficiency.
Qualifications
Currently pursuing or recently completed a bachelor’s degree in Electrical, Electronics, Computer, Energy, or a related engineering discipline.
Basic understanding of engineering principles and problem-solving methods.
Familiarity with relevant engineering tools, software, programming, or testing methods is preferred.
Strong analytical, communication, and teamwork skills.
Willingness to learn and work in a fast-paced technical environment.
Preferred Skills
Exposure to renewable energy, battery energy storage systems, power systems, embedded systems, automation, or software development.
Knowledge of tools such as MATLAB/Simulink, Python, C/C++, CAD, Git, or testing and simulation platforms.
Understanding of engineering documentation and version-control practices.
Our Culture
At Fluence, our culture is the foundation that drives our ambitious growth strategy and fuels our mission to transform the future of energy. Our core cultural pillars empower us to innovate, collaborate, and lead with purpose, ensuring we continue to deliver unparalleled value to our customers and the world.
Unleash Voices
We believe every voice matters. We encourage openness, active listening, and decisive action to create a culture where everyone has the opportunity to contribute to our success. We foster an environment where diverse perspectives are heard and valued, driving innovation and progress.
Customer Fluent
Our customers are at the heart of everything we do. We’re committed to delivering exceptional value that exceeds expectations by understanding our customers' needs and adapting swiftly to meet them. Our deep focus on customer satisfaction drives us to continuously improve and innovate.
Infinite Impact
We are committed to creating the impossible. We push boundaries to deliver sustainable, game-changing solutions that shape a brighter, more energy-efficient future for all. Our team is passionate about making a lasting impact that will resonate for generations to come.
All In
We are all in for growth. Our teams are relentlessly focused on identifying and seizing opportunities that propel us forward. We embrace an ownership mindset, pushing ourselves and each other to accelerate progress and create lasting success.",https://www.linkedin.com/jobs/view/4459334257,Not Disclosed / As per Industry Standards,software-development,LinkedIn,https://www.linkedin.com/jobs/view/4459334257,False,
